STATEA,COUNTYA,AJWME001,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021
5,63,37264,15393,14616,12447,2169,1642,436,73,0,18,32,32,0,0,0,0,0,31,0,98,91,525
5,65,13559,4573,4277,3549,728,579,97,20,27,5,0,0,0,0,0,0,0,9,0,57,116,114
5,67,17225,5480,5002,4480,522,442,60,3,12,5,3,3,0,0,0,0,0,3,84,83,64,241
5,69,70424,25511,23807,22269,1538,1236,210,46,14,32,41,41,0,0,0,0,0,16,27,428,641,551
5,71,26291,10244,9212,8129,1083,828,199,45,7,4,26,26,0,0,0,0,19,8,18,208,222,531
5,73,6915,2547,2350,2059,291,219,33,37,2,0,7,7,0,0,0,0,0,0,0,51,23,116
5,75,16669,6481,6115,5485,630,485,110,30,0,5,14,5,0,0,9,0,0,10,4,186,61,91
5,77,9398,2637,2510,2071,439,310,118,6,0,5,1,1,0,0,0,0,0,0,0,45,37,44
5,79,13695,3187,3060,2707,353,179,144,27,3,0,7,7,0,0,0,0,0,0,0,14,17,89
5,81,12417,4672,4577,4056,521,296,194,30,0,1,0,0,0,0,0,0,0,0,0,43,15,37
5,83,21757,8560,7866,6911,955,712,117,16,18,92,33,33,0,0,0,0,0,0,0,132,136,393
5,85,72206,32564,30941,28699,2242,1798,219,85,117,23,55,53,0,0,2,0,0,43,56,509,137,823
5,87,16076,6444,5981,5318,663,579,42,6,26,10,42,42,0,0,0,0,0,0,8,48,83,282
5,89,16438,5187,4808,4117,691,603,80,0,8,0,5,5,0,0,0,0,0,0,0,82,0,292
5,91,43759,17223,16348,14855,1493,1212,135,63,38,45,87,87,0,0,0,0,0,75,10,179,97,427
5,93,42831,16675,16181,13637,2544,1828,492,142,82,0,53,45,0,8,0,0,0,60,21,92,96,172
5,95,7249,2806,2626,2166,460,375,17,0,10,58,0,0,0,0,0,0,0,0,6,89,15,70
5,97,8993,3198,3034,2607,427,285,120,8,14,0,10,10,0,0,0,0,0,0,0,47,13,94
5,99,8440,3088,2914,2597,317,224,46,42,0,5,19,19,0,0,0,0,0,5,0,47,20,83
5,101,7848,3007,2604,2384,220,176,10,7,27,0,27,27,0,0,0,0,0,0,0,117,67,192
5,103,24106,9701,9195,8415,780,514,191,69,2,4,44,44,0,0,0,0,0,0,10,194,102,156
5,105,10322,3687,3291,2920,371,315,56,0,0,0,1,1,0,0,0,0,0,11,6,48,15,315
5,107,19034,6658,6340,5294,1046,890,135,7,6,8,3,3,0,0,0,0,34,0,0,98,92,91
5,109,10808,4477,4100,3468,632,412,141,11,35,33,19,19,0,0,0,0,0,0,1,117,118,122
