GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,AJXCE001,AJXCE002,AJXCE003,AJXCE004,AJXCE005,AJXCE006,AJXCE007,AJXCE008,AJXCE009,AJXCE010,AJXCE011,AJXCE012,AJXCE013,AJXCE014,AJXCE015,AJXCE016,AJXCE017,AJXCE018,AJXCE019,AJXCE020,AJXCE021,AJXEE001,AJXEE002,AJXEE003,AJXEE004,AJXEE005,AJXEE006,AJXEE007,AJXEE008,AJXEE009,AJXEE010,AJXEE011,AJXEE012,AJXEE013,AJXKE001,AJXKE002,AJXKE003,AJXKE004,AJXKE005,AJXKE006,AJXKE007,AJXKE008,AJXKE009,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,AJY2E001,AJY2E002,AJY2E003,AJY2E004,AJY2E005,AJY2E006,AJY2E007,AJY2E008,AJY2E009,AJY2E010,AJY2E011,AJY2E012,AJY2E013,AJY2E014,AJZAE001,AJZVE001,AJZVE002,AJZVE003,AJ0EE001,AJ1CE001,AJ1CE002,AJ1CE003,AJ1CE004,AJ1CE005,AJ1CE006,AJ1CE007,AJ1SE001,AJ1TE001,AJ1TE002,AJ1TE003,AJ14E001,AJ14E002,AJ14E003,AJ14E004,AJ14E005,AJ14E006,AJ14E007,AJ14E008,AJ2ME001,AJ2ME002,AJ2ME003,AJ2ME004,AJ2ME005,AJ2ME006,AJ2ME007,AJ2ME008,AJ2ME009,AJ2ME010,AJ2ME011,AJ2NE001,AJ3EE001,AJ3QE001,NAME_M,AJWMM001,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021,AJXCM001,AJXCM002,AJXCM003,AJXCM004,AJXCM005,AJXCM006,AJXCM007,AJXCM008,AJXCM009,AJXCM010,AJXCM011,AJXCM012,AJXCM013,AJXCM014,AJXCM015,AJXCM016,AJXCM017,AJXCM018,AJXCM019,AJXCM020,AJXCM021,AJXEM001,AJXEM002,AJXEM003,AJXEM004,AJXEM005,AJXEM006,AJXEM007,AJXEM008,AJXEM009,AJXEM010,AJXEM011,AJXEM012,AJXEM013,AJXKM001,AJXKM002,AJXKM003,AJXKM004,AJXKM005,AJXKM006,AJXKM007,AJXKM008,AJXKM009,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025,AJY2M001,AJY2M002,AJY2M003,AJY2M004,AJY2M005,AJY2M006,AJY2M007,AJY2M008,AJY2M009,AJY2M010,AJY2M011,AJY2M012,AJY2M013,AJY2M014,AJZAM001,AJZVM001,AJZVM002,AJZVM003,AJ0EM001,AJ1CM001,AJ1CM002,AJ1CM003,AJ1CM004,AJ1CM005,AJ1CM006,AJ1CM007,AJ1SM001,AJ1TM001,AJ1TM002,AJ1TM003,AJ14M001,AJ14M002,AJ14M003,AJ14M004,AJ14M005,AJ14M006,AJ14M007,AJ14M008,AJ2MM001,AJ2MM002,AJ2MM003,AJ2MM004,AJ2MM005,AJ2MM006,AJ2MM007,AJ2MM008,AJ2MM009,AJ2MM010,AJ2MM011,AJ2NM001,AJ3EM001,AJ3QM001
"G400","2014-2018",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",3918137,3918137,3510616,2586110,282622,280638,82318,3982,4790,270156,2383,267773,407521,251662,5337,14038,1074,489,101967,32954,12697,20257,1748344,1615004,1440542,174462,134848,23217,9056,5431,1910,7428,6831,197,73,112,215,1213,3041,4308,31322,15780,70248,1678096,71718,224762,277126,290306,261338,105851,206105,38478,40532,85020,47950,28910,1474620,975462,718745,256717,76016,180701,499158,414568,84590,2574001,25034,395,513,984,2008,4119,3285,5038,22959,10714,30704,42790,55258,68535,41452,677212,129195,191733,415100,198903,428829,157907,36285,25049,1474620,1319581,97353,22353,75000,19331,1463,17868,23510,5782,17728,14845,1397,13448,51424,1474620,202938,1271682,27432,3063396,1878306,1860415,1761328,99087,17891,1185090,1723230,1723230,1474620,248610,248610,45820,7742,19952,14098,39285,680,121033,1723230,33664,65521,238496,204226,253849,323260,199750,178620,90632,135212,1978,793,130900,"Oklahoma",0,0,0,626,1720,2635,1093,514,572,3712,551,3558,0,3816,622,1115,264,233,3348,1932,1110,1556,3884,4327,4652,2449,2297,951,746,599,289,606,647,119,56,55,109,324,340,369,1176,730,1545,4258,1448,3001,3203,2884,3230,2257,2525,1166,1136,1645,1235,1060,3107,3716,3298,2967,1659,2239,3020,2760,1667,765,1116,132,144,183,353,421,434,478,1180,624,1218,1318,1364,1599,1254,4412,2262,2562,3453,2673,3975,2294,1151,986,3107,3168,1364,860,1251,819,210,801,671,417,651,714,259,630,213,3107,2099,3295,139,1117,3621,3634,3895,1888,838,3608,514,514,3107,2898,2898,1747,563,837,752,807,158,1744,514,1125,1640,2367,2466,2441,2787,2444,2206,1704,1528,1,3,575
"G410","2014-2018",,,"Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oregon",4081943,4081943,3557987,3103557,74356,36776,172505,15301,6410,149082,2986,146096,523956,342376,3433,10185,2005,705,120674,44578,17242,27336,1895393,1545544,1356677,188867,149842,23455,8847,4252,2471,85300,65312,8351,8646,2764,227,1813,4924,42256,71623,14170,129763,1765630,65016,212221,271894,291327,257425,111405,214960,45868,62790,120456,78219,34049,1591835,1005869,772458,233411,71845,161566,585966,439093,146873,2850693,30821,436,672,1458,2833,6033,3562,5917,23046,6850,23828,31477,39663,48210,49376,530622,125743,232529,499948,249852,583144,247490,62012,45171,1591835,1347182,130368,22310,108058,51533,5072,46461,52109,11947,40162,10643,2017,8626,59393,1591835,279394,1312441,32045,3313374,2061035,2058128,1934643,123485,2907,1252339,1750539,1750539,1591835,158704,158704,23382,6535,14549,6824,62502,497,44415,1750539,30712,39459,253920,297374,193150,338270,162662,142177,92566,200249,1978,1050,287300,"Oregon",0,0,0,1164,1403,1501,1873,597,1118,2810,607,2784,0,4177,617,1246,461,327,4303,2518,1817,2040,5824,7031,6990,3917,3381,1146,942,657,416,2306,2264,761,742,376,91,428,488,1596,2218,1076,2793,6635,1979,3572,3165,4334,3738,2259,3628,1537,1975,2491,2158,1300,4000,4521,5258,3160,1744,2859,3544,3618,2482,744,1451,150,174,395,396,697,431,784,1389,588,1438,1571,1748,1758,1488,5036,2755,3275,5441,3027,5345,3253,1825,1371,4000,4869,2203,1160,2358,1218,510,1234,1131,681,1142,758,386,694,384,4000,3422,5316,178,1236,5978,5963,5800,2696,372,5819,324,324,4000,3949,3949,1466,834,1266,613,1719,180,2028,324,1114,1339,3131,3742,2991,3175,2662,2212,2011,2595,1,5,1017
"G420","2014-2018",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",12791181,12791181,11886025,9826865,1360576,14419,424597,2702,20860,236006,9675,226331,905156,514577,62743,10428,3295,1405,237834,74874,28380,46494,6032013,5104953,4593109,511844,397988,63885,26506,14083,9382,337633,224086,7724,45705,59380,738,6457,5874,29823,223371,43478,280424,5751589,182269,569508,765637,836433,809127,383958,745484,188363,243363,500872,358737,167838,5025132,3232070,2408669,823401,230451,592950,1793062,1484446,308616,8921363,88991,1462,1246,2438,3913,9083,8564,12498,29487,23434,110048,105405,165795,180765,130889,2784595,349060,487407,939376,741590,1661705,774543,177901,131168,5025132,4417389,257598,55062,202536,213958,33397,180561,100016,26968,73048,36171,6428,29743,59445,5025132,700759,4324373,32889,10432506,6536846,6531763,6151998,379765,5083,3895660,5673599,5673599,5025132,648467,648467,96671,22486,57564,28988,176810,761,265187,5673599,46795,88118,475083,542968,542606,704497,576665,775965,427320,1493582,1962,915,174100,"Pennsylvania",0,0,108,1448,4028,1003,2084,290,1761,4501,1090,4503,108,5399,3366,1245,606,387,5237,2995,1810,2289,12277,13009,12633,5394,4794,2236,1419,827,744,4937,4357,691,1591,1656,178,695,422,1455,4310,1498,4045,13075,4047,4578,5759,6469,5728,4150,5334,3299,3404,4737,4139,2738,9263,10250,12997,6398,3332,4884,6911,7093,3583,1002,2198,276,246,354,556,718,701,838,1550,1172,1954,2689,2965,2938,2659,12305,3916,4584,7116,6045,8564,6969,3052,2467,9263,9622,2444,1659,2446,2904,1068,2694,1504,939,1504,1271,612,1066,234,9263,5501,12301,118,2037,10885,10988,12061,5039,442,10743,714,714,9263,9355,9355,3058,1104,2051,1353,2132,213,5229,714,1398,1785,4108,4124,4758,4454,3931,4210,3677,7721,1,3,362
"G440","2014-2018",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",1056611,1056611,897753,767727,59001,3708,35128,684,7090,24415,3145,21270,158858,86775,10253,1776,535,179,51046,8294,4242,4052,515872,457799,413105,44694,35302,5230,2024,1110,1028,12915,9388,39,418,3005,65,560,344,1770,18556,3498,20430,495442,11865,49590,74250,79825,80936,34823,62146,15062,19323,33338,21456,12828,410885,255666,182276,73390,18624,54766,155219,126661,28558,733188,10680,153,93,687,1099,2437,3926,2399,4713,3362,8607,11618,13035,13466,11719,172787,34220,42214,90873,61136,145595,69830,15651,12888,410885,313741,46973,14485,32488,37368,5853,31515,9117,2337,6780,3686,641,3045,63296,410885,69135,341750,34619,873369,565997,562451,527972,34479,3546,307372,467412,467412,410885,56527,56527,10059,3187,4620,1336,17699,0,19626,467412,2089,4339,28354,35311,51668,57031,52520,58591,32519,144990,1960,981,249800,"Rhode Island",0,0,0,796,1171,535,856,274,999,1332,669,1407,0,2897,1429,571,252,137,2890,1233,783,953,2931,3415,3416,1942,1726,563,461,283,255,887,831,37,141,320,52,284,121,245,924,458,991,3019,785,1372,2062,1921,2431,1220,1985,905,961,1258,1058,870,1911,1962,2044,1633,995,1429,1993,1878,1151,356,758,106,60,315,267,452,526,389,505,428,708,821,881,928,787,3176,1195,1542,2466,1649,2578,1941,716,950,1911,1777,897,932,995,1048,463,1012,532,342,509,410,195,366,705,1911,1598,2407,345,608,2797,2835,3037,1259,306,2796,146,146,1911,1891,1891,802,504,582,335,792,30,1207,146,316,405,1090,1186,1410,1726,1538,1400,1238,2124,1,9,1738
"G450","2014-2018",,,"South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",4955925,4955925,4680240,3156973,1328352,14187,74278,2812,8584,95054,2193,92861,275685,176013,11008,2499,806,192,70013,15154,8896,6258,2215014,2033156,1825021,208135,161362,28832,10324,4804,2813,11816,10457,147,601,180,431,2427,2995,5446,46140,21134,91900,2123114,63809,192924,297460,357244,336888,143652,307194,68401,69791,159029,87757,38965,1894711,1249795,892969,356826,84331,272495,644916,542317,102599,3385002,37099,881,431,1163,2286,5480,4507,7395,21399,19363,41634,59281,87421,87004,60426,847337,151122,202163,496341,324446,588965,250813,51051,36994,1894711,1750425,83817,19688,64129,34788,3311,31477,19943,4254,15689,5738,639,5099,51015,1894711,257047,1637664,27986,3985183,2411983,2380549,2227307,153242,31434,1573200,2256951,2256951,1894711,362240,362240,62084,9263,24487,8918,129417,414,127657,2256951,57112,85021,445055,437146,374939,339727,204732,151393,67247,94579,1987,868,154800,"South Carolina",0,0,94,826,2761,681,1243,472,1199,3151,638,3039,94,3168,1194,799,267,111,3268,1468,1035,924,8095,8277,8701,4246,3868,1501,1083,665,455,1032,996,91,161,106,212,393,361,411,1491,1154,2062,8145,1973,4001,4466,4205,4619,3075,4712,1866,2353,2952,2338,1432,6012,7097,6880,4404,2425,3332,4817,4316,2192,783,1285,214,151,256,387,686,527,794,1165,1129,1832,2213,2535,2281,2044,6951,3050,4036,4978,3799,5752,4136,1636,1420,6012,5419,1884,965,1890,1107,410,1094,854,542,748,607,179,605,271,6012,3452,6573,159,1522,7393,7457,7946,3477,1113,7254,314,314,6012,6046,6046,2209,796,1449,945,2568,143,3270,314,1496,1814,3883,4324,4169,3942,3048,2536,1758,1802,1,5,659
"G460","2014-2018",,,"South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",864289,864289,832294,710810,15840,72263,12540,236,647,19958,109,19849,31995,19252,401,3068,120,57,5966,3131,1084,2047,436525,388474,350530,37944,27975,6242,2099,1125,503,2448,2354,23,44,0,27,219,722,1643,15269,2694,25056,411469,34819,84837,82587,75684,52348,18495,27369,4723,5962,12228,7564,4853,341565,216985,170352,46633,14849,31784,124580,102442,22138,567083,3834,63,49,162,215,388,405,296,1174,781,10525,5368,7934,9093,6657,147729,25533,36032,84293,65075,112426,34166,8813,6072,341565,315915,8121,1532,6589,6601,777,5824,3301,1184,2117,7627,1137,6490,56499,341565,35169,306396,29801,673638,461750,459025,442773,16252,2725,211888,387637,387637,341565,46072,46072,7200,2155,3064,1447,15183,154,16869,387637,8507,15641,57706,49954,38642,64016,31912,34623,17229,69407,1976,722,159100,"South Dakota",0,0,223,338,724,1014,479,90,361,1496,71,1494,223,1032,135,426,82,38,744,502,324,411,2456,2599,2516,1137,958,536,311,303,146,500,488,20,44,22,31,109,166,268,817,329,992,2560,1213,1979,1837,1908,1271,842,832,462,513,616,569,417,2003,1903,1824,1261,767,982,1794,1791,856,678,391,51,45,75,147,183,154,95,236,140,676,422,553,560,478,2224,1040,1212,1850,1585,2149,1197,723,483,2003,1940,535,315,558,469,210,437,295,213,240,459,240,425,508,2003,1076,2279,288,570,2225,2219,2266,826,336,2146,659,659,2003,1545,1545,627,414,409,284,809,66,833,659,660,770,1346,1263,1306,1374,1048,1054,777,1264,1,9,995
"G470","2014-2018",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",6651089,6651089,6298687,4924145,1107218,15172,112015,3318,9686,127133,3440,123693,352402,242086,10271,2676,900,488,80980,15001,8288,6713,3003226,2772904,2503496,269408,207422,38912,13614,5500,3960,21786,20045,327,242,942,230,1706,3258,3915,39970,29035,130652,2872574,75269,266005,394715,475953,455360,202946,405831,87923,99371,225390,132727,51084,2567061,1695846,1241573,454273,117724,336549,871215,722285,148930,4530706,49403,689,747,1634,2580,8923,6684,9390,29684,24607,85259,74471,106559,116550,73090,1198201,269647,287384,655225,323928,762299,311861,76858,55033,2567061,2380667,99706,24630,75076,39126,3138,35988,30391,6803,23588,17171,4552,12619,50972,2567061,391326,2175735,28511,5321857,3257398,3239353,3047809,191544,18045,2064459,2930530,2930530,2567061,363469,363469,66691,17426,29572,12913,70028,567,166272,2930530,62366,95427,488792,531160,415154,457070,306611,261833,136808,175309,1983,841,158600,"Tennessee",0,0,309,1192,3096,977,1490,476,1291,3639,639,3444,309,3943,1469,610,273,208,3827,1568,1007,940,8994,9869,9644,5080,4345,1779,1067,603,548,986,969,114,99,261,110,314,411,444,1355,1552,2327,9332,2148,3627,5272,4982,5650,2906,4332,2303,2501,3561,2626,1791,6524,7095,8314,4520,2705,4031,5669,5320,3165,1480,1762,176,185,349,436,758,631,661,1251,1222,2291,2287,2296,2771,1976,8688,3671,4390,5996,3939,6824,4049,1884,1707,6524,6679,1593,1039,1629,1422,406,1333,1033,631,1007,1120,469,975,250,6524,4226,8051,148,1695,8019,8058,8707,3431,979,7908,823,823,6524,7056,7056,2433,1150,1546,1071,2182,185,3814,823,1525,2403,4177,4279,4226,3628,3185,3162,2482,2545,1,3,532
"G480","2014-2018",,,"Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Texas",27885195,27885195,16963639,11807263,3269253,68452,1292813,20381,42354,463123,21662,441461,10921556,8913426,96530,67609,15444,3291,1557880,267376,131162,136214,12842820,11650999,10345804,1305195,970345,203572,75170,38541,17567,184848,159344,3492,9745,11223,1044,8363,19988,32418,196708,145444,604052,12238768,315515,1144188,1634930,1918817,1765031,733364,1826083,356349,463124,1065917,736953,278497,9553046,6629325,4812972,1816353,488202,1328151,2923721,2397543,526178,17815359,354158,3708,5076,21224,48787,104174,65989,101545,435436,119805,246209,455401,341190,386462,304268,3660917,787964,1106617,2785910,1261050,3409836,1321019,287320,201294,9553046,6118137,2758226,636359,2121867,266930,28302,238628,308321,72932,235389,101432,15915,85517,59570,9553046,1207242,8345804,30143,21394120,13818331,13728630,12985624,743006,89701,7575789,10769900,10769900,9553046,1216854,1216854,308747,57160,95712,51988,251097,2974,449176,10769900,360718,549114,2155115,1654382,1760363,1681799,985405,862939,369347,390718,1986,998,161700,"Texas",0,0,206,2579,5872,1809,4791,1009,3075,7830,1694,7482,206,21998,4262,4314,1389,648,19212,7672,5715,4959,17436,20181,16606,14558,10486,5582,3005,2240,1154,3173,3047,537,695,823,243,738,1154,1453,3412,3393,6005,19469,4604,8714,9964,11239,12191,7580,10558,4988,4629,9276,8315,4098,18343,19105,23549,9678,6231,7481,10635,10102,5529,2079,6370,458,640,1213,2217,3189,2180,3027,7832,3082,5076,7244,5625,5809,5197,21543,8205,13811,17480,10864,17076,11279,3895,3819,18343,14715,8658,5616,10039,4070,1340,3939,3786,1982,3294,2811,1129,2768,209,18343,7846,20424,102,3908,17522,17465,17411,7915,2259,17146,694,694,18343,18249,18249,6470,2678,3131,2347,3985,502,7814,694,4698,6303,9228,7975,8418,8856,5646,5892,3701,3781,1,2,339
"G490","2014-2018",,,"Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utah",3045350,3045350,2623227,2394238,33713,28047,68747,26607,4802,67073,2038,65035,422123,237818,2149,4610,1063,489,153188,22806,12926,9880,1433444,1248877,1088975,159902,118705,22814,10198,5209,2976,35349,21345,3441,3203,7222,138,490,4451,10555,36297,9159,88266,1345178,52356,174342,220832,241443,213526,88198,151140,31998,37292,70554,44076,19421,957619,716884,587505,129379,40763,88616,240735,184648,56087,1782065,14827,332,446,829,1293,2678,1571,2254,13664,3834,7806,16353,18483,28646,30344,355712,51612,141143,323812,173766,391237,144145,32078,25200,957619,783150,107434,15627,91807,31532,2288,29244,26840,3444,23396,8663,1045,7618,68374,957619,74474,883145,28239,2224253,1514938,1510998,1452040,58958,3940,709315,1066131,1066131,957619,108512,108512,17443,3537,8526,3962,51654,543,22847,1066131,33546,49009,220519,188894,133827,175673,75780,74929,37818,76136,1987,988,256700,"Utah",0,0,0,893,1120,907,1324,965,786,2098,503,2094,0,4506,580,899,295,145,4380,1662,1250,1286,4345,4407,5079,3200,2785,1306,914,615,425,1445,1105,409,455,567,72,183,455,655,1768,768,2205,4051,1661,2890,3419,3360,3012,2328,2665,1179,1368,1689,1400,950,2261,3150,3847,2400,1454,1845,2787,2554,1580,579,977,179,179,255,282,375,443,313,1114,520,682,1196,909,1150,1267,4406,1594,2887,3971,2956,3822,2787,1144,884,2261,2830,1671,926,1538,1110,344,1074,760,386,789,524,195,496,437,2261,1919,3121,159,1136,3863,3902,4238,2079,504,4060,428,428,2261,2406,2406,1213,474,743,650,1442,168,1308,428,1207,1501,2039,2331,2082,2479,1684,1418,1331,1308,1,6,1116
"G500","2014-2018",,,"Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",624977,624977,613300,581023,7602,1867,10541,170,898,11199,184,11015,11677,8523,456,239,38,14,1528,879,204,675,321624,271998,244038,27960,22773,3388,929,409,461,3971,3637,25,215,64,30,229,337,2475,17852,2487,22275,299349,14405,39023,46214,47467,42101,19580,34911,9518,9533,19823,11540,5234,259589,158406,124868,33538,10731,22807,101183,77381,23802,439695,2683,58,63,23,165,109,52,187,574,738,5535,3993,6883,6803,4841,112989,15183,23545,53652,37513,97034,47484,11287,8301,259589,240380,3760,133,3627,11910,947,10963,2376,524,1852,1163,186,977,60076,259589,33369,226220,33238,521723,343168,342620,328742,13878,548,178555,333013,333013,259589,73424,73424,3293,855,3242,838,54367,36,10793,333013,3164,6488,37253,36594,52271,51572,29034,20519,10867,85251,1974,972,223700,"Vermont",0,0,0,193,394,269,406,68,258,673,87,674,0,362,130,134,33,22,303,236,85,211,1780,1968,2034,1026,906,325,199,104,147,401,415,26,98,28,30,101,102,336,864,342,800,1839,708,1005,1517,1260,1171,722,1122,495,603,725,566,343,1229,1581,1395,1162,651,997,1621,1404,934,382,332,39,55,25,87,53,34,72,139,143,389,407,512,562,480,1650,671,818,1346,1103,1507,1187,556,463,1229,1428,301,59,300,554,162,562,288,156,252,250,131,224,656,1229,1051,1432,337,435,1848,1872,1832,743,136,1895,163,163,1229,1201,1201,423,199,361,197,848,25,685,163,349,454,871,1098,964,1167,942,809,548,1386,1,12,1645
"G510","2014-2018",,,"Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",8413774,8413774,7642597,5233111,1582421,17747,526973,4740,21295,256310,8233,248077,771177,489549,30864,5225,4530,937,187169,52903,24808,28095,4152433,3588194,3205870,382324,282010,62561,19020,10352,8381,184405,84111,658,82627,16479,530,8102,6102,17425,99787,40697,207721,3944712,89129,306294,470630,589697,566672,265910,567400,134776,169086,373201,288085,123832,3128415,2085245,1578357,506888,136383,370505,1043170,843863,199307,5730352,69818,1026,985,2363,4267,9522,9141,15918,40400,33752,61183,74634,101447,105589,82775,1154825,226255,346434,766185,436970,1244489,692598,144150,105626,3128415,2612383,208004,40519,167485,133277,11759,121518,123801,24208,99593,50950,6753,44197,71564,3128415,288254,2840161,37763,6756219,4450906,4336393,4118723,217670,114513,2305313,3491091,3491091,3128415,362676,362676,63404,19652,33483,13872,88357,370,143538,3491091,57820,108297,538583,559372,572327,551106,372495,312156,157168,261767,1982,1202,264900,"Virginia",0,0,504,1233,4598,828,3342,427,1586,5272,1052,5299,504,6234,2067,1055,751,279,6117,2893,2137,1776,8682,11071,10333,5182,4526,2307,1251,840,607,2928,2522,180,1929,967,133,859,560,1031,2290,1655,3028,9217,2434,4101,5680,5813,5523,4041,5707,2996,3160,3800,3787,2385,7210,7640,9199,4814,2770,3913,5291,5014,3305,1776,2227,202,227,380,590,855,649,1180,2124,1356,1930,2446,2723,2665,1936,9257,3490,4008,7244,3933,8391,6938,2746,2369,7210,6783,2264,1513,2487,2112,773,2096,1989,998,1902,1488,573,1358,326,7210,3901,8848,188,2090,7636,7613,8057,4125,2235,7748,718,718,7210,7692,7692,2435,1386,1800,1019,1866,173,3714,718,1633,2146,4302,4062,4583,4103,3217,3416,2393,2777,1,5,1004
"G530","2014-2018",,,"Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington",7294336,7294336,6382763,5039208,259482,80274,602020,46476,12077,343226,6662,336564,911573,506789,10372,14774,5409,1567,299093,73569,33979,39590,3485339,2853633,2506808,346825,265507,43599,16872,12238,8609,225913,194937,1678,8499,10385,10414,3308,10909,30853,125965,27582,207176,3278163,88632,296095,413895,490886,462971,215977,447960,107250,142285,286520,225604,100088,2800423,1813296,1407804,405492,127803,277689,987127,751465,235662,5001943,57948,761,1126,2847,4939,11236,7425,10658,40485,11762,37943,48340,56876,70512,81863,917800,191216,375788,807708,501449,1104621,471410,109253,77977,2800423,2243588,213735,42577,171158,128510,16451,112059,181317,40174,141143,33273,7313,25960,70116,2800423,372051,2428372,36888,5843155,3761036,3712186,3513856,198330,48850,2082119,3064381,3064381,2800423,263958,263958,40339,13081,22884,10795,95056,1537,80266,3064381,68422,105254,482692,521731,405909,490200,289560,234272,148019,318322,1981,1194,311700,"Washington",0,0,0,1154,2746,1720,3017,1121,1222,4201,817,4225,0,7426,1393,1648,647,322,7085,3288,2174,2165,7262,8786,9135,5108,4525,1803,1138,895,693,3424,3323,383,773,834,745,480,772,1301,2959,1323,2990,7586,2335,4169,4460,4590,4283,3460,4612,2264,2766,3768,3590,2269,5474,6110,8241,4869,2232,3758,5461,5440,3360,907,2171,159,214,445,565,911,808,860,1590,986,1587,2011,1886,2064,2013,7615,2822,4289,6864,4392,7579,5168,2361,1989,5474,5844,2331,1652,2626,2705,966,2589,2089,1235,2094,1298,636,1223,308,5474,4551,7689,168,1574,6117,5945,6919,3629,1425,6190,679,679,5474,5800,5800,2073,1069,1626,790,2048,325,2981,679,1718,1862,4130,4278,3813,4783,3348,2941,2495,3090,1,5,1121
"G540","2014-2018",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Virginia",1829054,1829054,1801532,1684756,65597,3546,14353,309,3060,29911,865,29046,27522,19589,1131,122,181,41,4230,2228,1163,1065,727792,667619,600897,66722,54033,8225,3001,745,718,6627,5615,48,175,747,42,309,402,1049,20940,6633,24213,703579,27123,80099,103438,114676,98698,43091,79223,19261,22296,51318,39510,24846,734676,475835,358834,117001,34837,82164,258841,217917,40924,1292084,10152,182,215,302,408,944,1138,1973,6720,9247,26168,28681,37443,34952,15705,436424,87112,77117,163476,91975,158032,75727,16213,11778,734676,710252,10118,891,9227,7958,601,7357,4546,953,3593,1802,202,1600,44921,734676,126135,608541,25479,1499244,797423,796365,742615,53750,1058,701821,890715,890715,734676,156039,156039,16898,3556,10687,4761,43110,174,76853,890715,6816,17913,106492,120741,109665,144730,82128,94268,67051,140911,1974,711,115000,"West Virginia",0,0,460,942,1114,476,592,127,779,1233,326,1189,460,900,384,76,143,44,643,419,302,258,4417,4260,4296,2158,2077,777,460,201,167,609,569,45,75,150,33,107,132,241,968,473,1158,4206,1180,2077,1908,2114,2125,1337,2243,957,1205,1619,1487,1260,2910,3141,3109,2278,1162,2165,2963,2797,1305,831,664,89,112,138,134,182,255,341,619,692,1119,1372,1479,1024,754,4640,2264,1903,2773,1894,2986,1806,896,696,2910,3070,590,225,560,527,159,537,388,228,340,293,105,284,470,2910,2170,3351,213,1010,4171,4202,4345,2014,219,4110,250,250,2910,2830,2830,1077,401,784,555,1090,107,2104,250,494,907,1979,2189,1832,2104,1903,1744,1648,1895,1,6,961
